chain	own	state	empft	emppt	nmgrs	wagest	empft2	emppt2	nmgrs2	wagest2
1	0	1	13.5	15	4	4.25	11	24	5	5.05
3	0	1	17	14	3	4.25	20	14.5	3	5.05
1	0	1	0	35	5	4.75	20	40	4	5.25
1	0	1	20	25	4	4.75	6	15	4	5.05
1	0	1	4	22.5	2	4.25	22	12	3	5.05
1	0	1	10	15	4	4.25	18	20	3	5.05
1	0	1	12	19	3	4.75	18	13	4	5.05
1	1	1	0	32	3	4.5	0	30	4	5.05
1	0	1	1	38	5	4.25	10	50	6	5.05
1	0	1	8	10	3	4.25	21	6	4	5.05
2	0	1	15	0	4	4.5	0	15	2	5.05
3	1	1	7	25.5	3	4.5	2	38	4	5.05
3	1	1	20	20	5	4.5	15	20	3	5.5
3	1	1	6	16	2	4.75	3	20	3	5.05
3	0	1	5.5	25	3	4.62	6	27.5	3	5.05
3	1	1	14.5	14.5	5	4.25	.	.	.	.
3	1	1	15	25	3	4.25	12	30	5	5.05
4	0	1	0	40	3	4.5	5	35	5	5.67
4	0	1	10	15	4	4.75	10	25	3	5.05
4	0	1	15	35	4	4.25	40	31	5	5.05
1	0	1	8	20	5	4.8	0	32	4.5	5.05
1	0	1	0	20	4	4.5	8	10	3	5.05
1	0	1	0	27.5	3.5	4.67	12	20	3	5.75
1	0	1	8	15	3	4.87	2	18	2	5.05
2	0	1	2	7	3	4.5	3	4	4	5.05
2	0	1	6	12	2	4.5	10	5	4	5.25
3	1	1	0	40	3	4.75	3	30	3	5.05
4	0	1	8	32	5	4.75	0	35	4	5.05
1	0	1	5	20	4	4.25	0	32	4	5.25
1	1	1	2	32	3	4.25	10	12.5	5	5.05
1	0	1	0	24	5	4.75	7	23	3	5.05
1	0	1	6	40	10	4.85	11	30	5	5.05
1	0	1	11	20	4	4.75	20	20	3	5.05
1	0	1	15	21	4	4.62	20	27.5	4	5.05
2	1	1	13	12	3	4.25	1	10	3	5.05
2	0	1	2	12	3	4.25	2	10	4	5.05
2	0	1	8	3	4	4.5	0	17.5	4	5.05
2	0	1	3	15	3	4.5	0	15	3	5.05
2	0	1	12	4	4	4.62	15	10	2	5.05
2	0	1	2	9	3	4.5	2	6	3	5.05
3	0	1	10	20	4	4.75	12	18	4	5.05
3	0	1	4	15	3	4.75	0	19	3	5.05
4	0	1	20	10	4	4.87	4.5	30	3	5.25
4	0	1	1	13	3	4.5	4	9	3	5.05
4	0	1	0	30	3	4.25	8	25	3	5.05
1	0	1	.	.	4	4.25	10	32	4	5.05
2	0	1	0	12	3	4.35	11	3	4	5.05
1	0	1	0	60	3	4.25	5	40	4	5.05
1	0	1	0	33	3	4.5	16	22	3	5.05
1	0	1	30	14	4	4.25	13	11	4	5.05
1	0	1	9	12	2	4.25	4	34	3	5.05
1	0	1	10	8.5	4	4.25	12	13.5	3	5.05
2	1	1	8	10	4	4.75	8.5	6	2	5.2
3	1	1	12	32	4	4.62	5	32	3	5.05
3	1	1	4	36	4	4.25	6	37	4	5.05
4	1	1	0	19	2	4.5	0	14	3	5.05
1	0	1	3	28	4	4.5	2	35	4	5.05
1	0	1	11	17.5	3	4.5	20	15	3	5.05
1	1	1	4.5	20	4	4.55	12	17.5	4	5.05
1	0	1	2	30	3	4.62	0	35	5	5.05
1	0	1	10	10	3	4.5	20	10	3	5.05
2	0	1	2	11	3	4.25	2	18	3	5.05
2	1	1	2	13	2	4.25	0	12	3	5.05
2	1	1	7	4	2	4.35	5	3	3	5.05
2	1	1	3	9	3	4.25	9	9	2	5.05
2	0	1	3	15	2	4.25	3	12	3	5.05
2	0	1	1	28	3	4.6	1	15	3	5.05
3	1	1	2	24	3	4.25	2	15	3	5.05
3	1	1	3	18	3	4.75	3	20	3	5.05
3	1	1	3	27	3	4.75	12	25	4	5.05
4	0	1	0	22	2	4.25	0	26	2	5.3
4	0	1	3	28.5	3	4.5	11	19	3	5.05
1	0	1	3	40	3	4.5	22	11	3	5.5
1	0	1	0	25	3	4.25	15	17	3	5.05
1	0	1	18	6	3	4.75	18	10	4	5.05
1	0	1	19	7	3	4.65	15	7	3	5.05
1	0	1	5	17	1	4.25	.	28	3	5.05
1	0	1	12	11	4	4.25	9	17	4	5.05
2	1	1	0	22	3	4.75	25	15	5	5.05
2	0	1	15	4	3	4.25	0	19	2	5.05
3	1	1	7	25	3	4.5	7	22	3	5.05
3	1	1	12	30	3	4.25	16	12	6	5.05
4	0	1	0	40	4	4.5	0	40	4	5.05
4	0	1	8	16	6	4.75	10	14	6	5.05
1	0	1	6	6	4	4.37	10	12	3	5.05
2	1	1	1	4	2	4.5	2	4	3	5.05
3	1	1	7	7	3	4.87	4	8	6	5.05
1	0	1	20	10	3	4.25	.	.	.	.
1	0	1	4	22	3	4.25	20	18	3	5.05
1	1	1	10	20	4	4.25	4	26	5	5.05
1	0	1	7	13	3	4.25	0	22.5	3	5.05
1	0	1	0	10	2	4.25	0	23	5	5.05
1	0	1	0	20	1	4.25	0	0	0	.
1	0	1	6.5	20	3	4.25	30	25	5	5.05
2	1	1	2	10	3	4.45	10	3	4	5.05
2	1	1	2	14	4	4.62	2	11	3	5.05
2	1	1	4	4	4	4.25	1	8	2	5.05
2	1	1	2	15	3	4.25	1	14	3	5.05
2	1	1	3	4	3	4.25	0	9	4	5.05
3	1	1	2	14	3	4.25	0	0	0	.
3	1	1	5	23	4	4.5	6	12	3	5.05
3	1	1	3	25	3	4.75	3	15	3	5.05
3	1	1	1	15	3	4.75	2	15	3	5.05
3	1	1	3	18	3	4.5	2	15	3	5.05
3	1	1	0	20	3	4.75	5	9	3	5.05
3	1	1	2	12	2	4.25	3	10	2	5.05
4	0	1	8	12	3	4.75	0	23	2	5.05
4	0	1	4	20	3	4.55	5	16	3	5.1
4	0	1	10	15	3	4.8	15	11	3	5.05
1	0	1	8	9	3	4.75	.	21	4	5.05
1	1	1	9	15	3	4.25	15	30	4	5.05
3	1	1	10	35	3	4.35	12	35	3	5.05
3	0	1	10	20	3	4.5	10	15	4	5.05
3	1	1	0	20	3	4.39	5	22	4	5.05
3	1	1	17.5	17.5	4	4.25	25	25	6	5.2
4	0	1	0	28	4	4.25	3	23	3	5.05
1	0	1	4	6	3	4.25	3	2	3	5.05
1	0	1	11	9	4	4.5	0	30	.	5.05
1	0	1	8	12	3	4.62	15	6	4	5.25
1	1	1	15	15	3	4.62	12	14	3	5.05
1	0	1	0	8	2	4.25	4	0	3	5.05
2	0	1	5	7	3	4.75	7	6	4	5.05
2	0	1	0	11	3	4.62	22	4	3	5.05
3	1	1	8	13	4	4.75	12	5	4	5.05
3	1	1	4	15	4	4.5	1	15	3	5.05
1	0	1	2	16.5	4	4.25	3	20	3	5.05
1	0	1	28	12	4	4.5	10	20	5	5.05
1	1	1	5	29.5	5	4.87	25	5	3	5.05
1	1	1	18	6	2	4.25	5	9	2	5.05
1	0	1	6	30	3	4.25	15	17	2	5.05
2	1	1	2	7	2	4.62	3	7	3	5.05
2	1	1	10	6	2	4.75	4	11	2	5.05
2	1	1	2	10.5	2	4.25	3	12	3	.
3	1	1	3	10.5	3	4.25	0	0	0	.
3	1	1	8	9	4	4.75	5	20	2	5.05
3	1	1	2	27.5	3	4.25	10	20	4	5.05
3	1	1	0	19	4	4.75	.	.	.	.
3	1	1	7.5	22.5	3	4.37	.	31	4	5.05
4	0	1	2	17	3	4.87	3	17	2	.
1	1	1	0	22	4	4.25	0	26	4	5.05
1	0	1	3	25	2	4.25	5	32	7	5.05
1	0	1	6	13	5	4.25	4	23	6	5.05
2	0	1	6	13	.	4.25	24	4	4	5.05
2	0	1	0	25	3	4.25	14	7	2	5.2
2	0	1	3.5	20	3	4.25	1	30	4	5.05
3	0	1	2	17	3	4.5	1	19	4	5.05
4	0	1	0	20	3	4.25	0	25	2	5.05
1	1	1	0	15	4	4.35	0	0	0	.
1	0	1	20	11.5	3.3	4.85	26	5	3	5.05
1	0	1	4	10	4	4.5	0	17	3	5.05
1	0	1	12	6	3	4.25	11	12	3	5.05
1	0	1	20	12	4	4.62	28	6	3	5.05
1	0	1	10	15	3	4.5	15	14	3	5.05
1	0	1	6	4	2	4.5	7	2	2	5.05
1	0	1	.	.	3	4.65	0	30	3	5.05
1	0	1	16	14	3	4.25	15	14	3	5.05
1	0	1	0	19	3	4.25	14	10	4	5.05
2	0	1	15	5	2	4.25	12	7	2	5.05
2	1	1	4	10	3	4.62	18	4	3	5.25
3	1	1	24	16	4	4.87	8	30	3	5.4
3	1	1	4	28	3	4.25	6	15	3	5.05
3	1	1	14	13	4	4.75	25	15	3	5.05
3	1	1	13	8	3	4.87	18	18	4	5.05
3	1	1	16	15	3	4.5	8	24	3	5.05
3	0	1	8	6	4	4.25	5	27	4	5.05
3	1	1	11	10	3	4.75	17	5	2	5.05
3	1	1	6	17	3	4.32	1.5	15	3	5.05
1	0	1	0	35	3	4.25	0	35	3	5.05
1	0	1	0	36	3	4.5	4	36	3	5.05
2	0	1	0	17	2	4.5	0	13	2	5.05
1	0	1	0	36	5	4.25	0	20	3	5.05
1	0	1	0	36	5	4.25	13	9	4	5.05
1	0	1	8	32	5	4.25	0	38	4	5.05
1	1	1	4	28	3	4.25	13	17	4	5.05
1	0	1	30	15	4	4.25	0	35	4	5.05
2	1	1	3	10	4	4.25	5	5	2	5.05
2	1	1	20	10	8	4.62	25	7	8	5.05
2	0	1	0	7	3	4.75	5	10	6	5.05
2	1	1	2	10	2	4.95	19	3.5	3	5.25
2	1	1	3.5	6.5	3	4.75	12	3	4	5.25
3	1	1	3	33	5	4.25	5	25	3	5.05
4	0	1	7	8	3	4.75	0	35	3	5.05
4	0	1	0	33	3	4.62	10	24	3	5.14
